,Country,Year,Week,Start date,End date,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsFatigue,GoogleTrendsChickenpox,GoogleTrendsRubella,GoogleTrendsSmallpoxVaccine,GoogleTrendsInfertility,GoogleTrendsCampylobacter,GoogleTrendsTyphoidFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients
0,Germany,2014,49,12/1/2014,12/7/2014,2,-1,0.5,36,35.0,40.0,72.0,0,29.0,57.0,28.0,16,13,109.0,3.0
1,Germany,2014,50,12/8/2014,12/14/2014,6,1,1.61,40,43.0,37.0,76.0,0,36.0,58.0,29.0,15,12,116.0,5.0
2,Germany,2014,51,12/15/2014,12/21/2014,8,3,3.04,42,46.0,40.0,61.0,1,27.0,81.0,24.0,22,3,105.0,16.0
3,Germany,2014,52,12/22/2014,12/28/2014,5,0,2.89,40,45.0,41.0,72.0,1,31.0,47.0,28.0,16,7,50.0,19.0
4,Germany,2015,1,12/29/2014,1/4/2015,1,-4,0.58,34,44.0,45.0,59.0,1,34.0,68.0,25.0,15,8,47.0,13.0
5,Germany,2015,2,1/5/2015,1/11/2015,6,2,0.88,39,42.0,40.0,53.0,0,35.0,83.0,26.0,16,10,115.0,55.0
6,Germany,2015,3,1/12/2015,1/18/2015,6,1,5.5,45,56.0,40.0,65.0,1,31.0,73.0,23.0,15,9,134.0,85.0
7,Germany,2015,4,1/19/2015,1/25/2015,8,2,1.89,55,42.0,40.0,68.0,0,39.0,54.0,16.0,16,14,188.0,127.0
8,Germany,2015,5,1/26/2015,2/1/2015,1,-1,0.32,61,41.0,39.0,55.0,0,44.0,54.0,26.0,14,26,240.0,153.0
9,Germany,2015,6,2/2/2015,2/8/2015,4,0,3.04,71,42.0,37.0,50.0,0,35.0,87.0,31.0,17,14,250.0,164.0
10,Germany,2015,7,2/9/2015,2/15/2015,1,-3,1.11,78,43.0,37.0,51.0,1,31.0,62.0,34.0,19,13,285.0,204.0
11,Germany,2015,8,2/16/2015,2/22/2015,6,-1,0.14,63,47.0,40.0,54.0,1,34.0,78.0,34.0,18,22,281.0,203.0
12,Germany,2015,9,2/23/2015,3/1/2015,7,-1,0.07,52,42.0,34.0,52.0,1,25.0,59.0,21.0,19,15,270.0,204.0
13,Germany,2015,10,3/2/2015,3/8/2015,8,-1,1.0,50,38.0,30.0,59.0,1,35.0,45.0,24.0,18,11,258.0,156.0
14,Germany,2015,11,3/9/2015,3/15/2015,9,1,1.25,42,45.0,40.0,62.0,1,38.0,34.0,26.0,15,10,201.0,118.0
15,Germany,2015,12,3/16/2015,3/22/2015,9,1,0.11,38,49.0,43.0,54.0,1,38.0,62.0,23.0,14,11,146.0,76.0
16,Germany,2015,13,3/23/2015,3/29/2015,11,0,0.68,34,42.0,38.0,58.0,0,31.0,26.0,27.0,18,7,136.0,66.0
17,Germany,2015,14,3/30/2015,4/5/2015,12,3,1.18,33,46.0,32.0,52.0,1,33.0,43.0,26.0,19,14,55.0,31.0
18,Germany,2015,15,4/6/2015,4/12/2015,10,0,2.43,33,45.0,38.0,51.0,1,37.0,53.0,24.0,16,13,44.0,21.0
19,Germany,2015,16,4/13/2015,4/19/2015,15,3,0.18,30,42.0,40.0,59.0,1,38.0,46.0,24.0,20,12,35.0,12.0
20,Germany,2015,17,4/20/2015,4/26/2015,15,3,0.0,28,45.0,38.0,64.0,1,35.0,55.0,19.0,15,14,31.0,6.0
21,Germany,2015,18,4/27/2015,5/3/2015,20,4,0.64,31,39.0,39.0,64.0,1,35.0,63.0,23.0,13,12,32.0,10.0
22,Germany,2015,19,5/4/2015,5/10/2015,15,3,2.32,29,42.0,35.0,57.0,0,33.0,48.0,23.0,14,13,21.0,2.0
23,Germany,2015,20,5/11/2015,5/17/2015,20,8,0.29,27,40.0,41.0,70.0,1,35.0,50.0,21.0,18,17,9.0,1.0
24,Germany,2015,21,5/18/2015,5/24/2015,18,5,1.29,30,36.0,45.0,62.0,1,33.0,53.0,22.0,19,9,10.0,0.0
25,Germany,2015,22,5/25/2015,5/31/2015,20,5,0.04,30,43.0,38.0,52.0,0,28.0,35.0,26.0,19,12,9.0,0.0
26,Germany,2015,23,6/1/2015,6/7/2015,19,6,0.5,29,48.0,32.0,43.0,1,43.0,34.0,24.0,14,11,14.0,0.0
27,Germany,2015,24,6/8/2015,6/14/2015,25,10,0.46,28,44.0,40.0,57.0,1,44.0,100.0,24.0,17,11,12.0,2.0
28,Germany,2015,25,6/15/2015,6/21/2015,24,10,1.25,29,41.0,45.0,70.0,1,41.0,71.0,26.0,15,10,14.0,0.0
29,Germany,2015,26,6/22/2015,6/28/2015,19,8,2.39,32,45.0,47.0,91.0,1,35.0,50.0,30.0,17,8,14.0,1.0
30,Germany,2015,27,6/29/2015,7/5/2015,20,12,3.54,31,48.0,47.0,75.0,1,30.0,48.0,21.0,17,16,16.0,2.0
31,Germany,2015,28,7/6/2015,7/12/2015,31,16,1.04,32,44.0,41.0,69.0,1,38.0,50.0,14.0,19,12,7.0,0.0
32,Germany,2015,29,7/13/2015,7/19/2015,24,11,1.61,31,45.0,43.0,74.0,1,35.0,46.0,11.0,11,9,11.0,0.0
33,Germany,2015,30,7/20/2015,7/26/2015,24,14,5.32,28,44.0,46.0,72.0,1,26.0,46.0,18.0,17,19,17.0,0.0
34,Germany,2015,31,7/27/2015,8/2/2015,26,13,3.5,29,43.0,44.0,80.0,1,31.0,38.0,9.0,13,14,12.0,2.0
35,Germany,2015,32,8/3/2015,8/9/2015,23,11,0.32,31,52.0,42.0,76.0,1,33.0,32.0,17.0,17,14,6.0,0.0
36,Germany,2015,33,8/10/2015,8/16/2015,32,16,0.14,28,38.0,47.0,60.0,1,37.0,41.0,12.0,19,11,8.0,0.0
37,Germany,2015,34,8/17/2015,8/23/2015,32,18,1.32,26,47.0,55.0,72.0,1,37.0,33.0,13.0,17,12,8.0,1.0
38,Germany,2015,35,8/24/2015,8/30/2015,26,13,0.36,28,50.0,56.0,94.0,1,34.0,47.0,15.0,20,12,15.0,0.0
39,Germany,2015,36,8/31/2015,9/6/2015,26,12,3.0,28,43.0,51.0,92.0,0,34.0,40.0,20.0,20,12,10.0,3.0
40,Germany,2015,37,9/7/2015,9/13/2015,23,12,2.07,32,48.0,48.0,83.0,1,42.0,21.0,21.0,16,16,22.0,0.0
41,Germany,2015,38,9/14/2015,9/20/2015,20,9,0.46,33,45.0,49.0,83.0,1,37.0,23.0,19.0,21,15,28.0,0.0
42,Germany,2015,39,9/21/2015,9/27/2015,21,10,1.32,32,54.0,44.0,73.0,1,33.0,48.0,24.0,13,13,38.0,2.0
43,Germany,2015,40,9/28/2015,10/4/2015,18,7,0.21,34,49.0,44.0,65.0,1,41.0,59.0,29.0,17,13,44.0,1.0
44,Germany,2015,41,10/5/2015,10/11/2015,18,3,0.0,31,46.0,62.0,92.0,1,48.0,70.0,20.0,17,12,59.0,2.0
45,Germany,2015,42,10/12/2015,10/18/2015,13,5,4.0,30,44.0,49.0,72.0,1,41.0,52.0,21.0,15,11,66.0,1.0
46,Germany,2015,43,10/19/2015,10/25/2015,8,4,6.29,31,47.0,45.0,76.0,1,38.0,47.0,25.0,20,10,57.0,0.0
47,Germany,2015,44,10/26/2015,11/1/2015,12,6,0.96,31,44.0,43.0,62.0,1,43.0,55.0,24.0,16,11,62.0,1.0
48,Germany,2015,45,11/2/2015,11/8/2015,12,3,0.0,31,38.0,55.0,76.0,1,33.0,67.0,26.0,21,17,76.0,2.0
49,Germany,2015,46,11/9/2015,11/15/2015,13,3,0.61,32,47.0,45.0,63.0,1,40.0,46.0,24.0,18,12,79.0,6.0
50,Germany,2015,47,11/16/2015,11/22/2015,14,8,4.57,30,62.0,51.0,64.0,0,35.0,54.0,18.0,20,19,89.0,5.0
51,Germany,2015,48,11/23/2015,11/29/2015,10,6,2.75,32,49.0,48.0,64.0,1,33.0,60.0,21.0,16,18,96.0,1.0
52,Germany,2015,49,11/30/2015,12/6/2015,5,-1,2.04,35,53.0,48.0,59.0,0,32.0,65.0,19.0,15,10,93.0,5.0
53,Germany,2015,50,12/7/2015,12/13/2015,9,4,1.89,38,59.0,38.0,45.0,0,41.0,78.0,24.0,16,10,93.0,7.0
54,Germany,2015,51,12/14/2015,12/20/2015,9,3,3.14,38,47.0,37.0,67.0,1,44.0,69.0,22.0,19,10,90.0,7.0
55,Germany,2015,52,12/21/2015,12/27/2015,9,5,0.61,39,51.0,38.0,57.0,0,40.0,88.0,19.0,17,6,49.0,7.0
56,Germany,2015,53,12/28/2015,1/3/2016,12,7,0.86,35,50.0,44.0,63.0,1,35.0,75.0,31.0,15,10,24.0,5.0
57,Germany,2016,1,1/4/2016,1/10/2016,5,0,0.44,38,53.0,34.0,51.0,0,34.0,72.0,26.0,15,13,85.0,11.0
58,Germany,2016,2,1/11/2016,1/17/2016,-1,-6,0.0,45,55.0,41.0,55.0,1,38.0,58.0,26.0,14,11,118.0,26.0
59,Germany,2016,3,1/18/2016,1/24/2016,-2,-7,2.25,51,48.0,39.0,54.0,1,32.0,72.0,35.0,15,10,142.0,43.0
60,Germany,2016,4,1/25/2016,1/31/2016,2,-1,1.93,50,46.0,41.0,61.0,1,37.0,75.0,22.0,14,14,155.0,69.0
61,Germany,2016,5,2/1/2016,2/7/2016,0,-7,1.0,52,48.0,39.0,61.0,1,35.0,86.0,31.0,12,7,181.0,76.0
62,Germany,2016,6,2/8/2016,2/14/2016,10,4,1.25,55,56.0,38.0,56.0,1,32.0,65.0,25.0,14,17,193.0,92.0
63,Germany,2016,7,2/15/2016,2/21/2016,9,3,1.46,59,,35.0,59.0,1,37.0,48.0,23.0,14,10,221.0,101.0
64,Germany,2016,8,2/22/2016,2/28/2016,7,2,1.14,64,,39.0,47.0,1,38.0,61.0,19.0,13,14,254.0,145.0
65,Germany,2016,9,2/29/2016,3/6/2016,6,0,2.75,69,,36.0,53.0,1,37.0,38.0,27.0,11,10,278.0,156.0
66,Germany,2016,10,3/7/2016,3/13/2016,7,-1,1.04,73,,35.0,58.0,0,30.0,57.0,22.0,17,12,286.0,157.0
67,Germany,2016,11,3/14/2016,3/20/2016,7,-1,1.04,71,,39.0,51.0,1,40.0,35.0,23.0,15,8,244.0,135.0
68,Germany,2016,12,3/21/2016,3/27/2016,6,-1,0.04,56,,40.0,58.0,1,43.0,32.0,28.0,17,10,169.0,124.0
69,Germany,2016,13,3/28/2016,4/3/2016,8,0,0.39,43,,36.0,36.0,1,38.0,43.0,20.0,16,13,133.0,82.0
70,Germany,2016,14,4/4/2016,4/10/2016,10,3,1.0,37,,42.0,50.0,1,39.0,48.0,36.0,17,11,133.0,66.0
71,Germany,2016,15,4/11/2016,4/17/2016,14,3,1.64,38,,44.0,80.0,1,39.0,42.0,33.0,12,16,85.0,35.0
72,Germany,2016,16,4/18/2016,4/24/2016,16,5,0.07,33,,44.0,68.0,1,33.0,67.0,18.0,17,9,64.0,11.0
73,Germany,2016,17,4/25/2016,5/1/2016,14,4,3.0,37,,43.0,74.0,0,38.0,61.0,26.0,11,16,52.0,8.0
74,Germany,2016,18,5/2/2016,5/8/2016,13,3,0.11,34,,40.0,70.0,1,30.0,50.0,27.0,15,13,36.0,9.0
75,Germany,2016,19,5/9/2016,5/15/2016,13,2,1.32,32,,41.0,54.0,1,34.0,32.0,29.0,18,12,24.0,5.0
76,Germany,2016,20,5/16/2016,5/22/2016,21,7,0.04,31,,42.0,45.0,1,36.0,60.0,27.0,15,12,27.0,2.0
77,Germany,2016,21,5/23/2016,5/29/2016,22,9,0.43,34,,37.0,51.0,1,33.0,34.0,21.0,15,10,15.0,0.0
78,Germany,2016,22,5/30/2016,6/5/2016,21,10,0.11,33,,34.0,49.0,0,42.0,34.0,35.0,15,11,16.0,0.0
79,Germany,2016,23,6/6/2016,6/12/2016,22,12,1.75,33,,38.0,53.0,1,45.0,69.0,29.0,14,9,14.0,0.0
80,Germany,2016,24,6/13/2016,6/19/2016,27,15,1.96,35,,44.0,67.0,1,34.0,48.0,27.0,12,12,16.0,1.0
81,Germany,2016,25,6/20/2016,6/26/2016,24,10,0.36,34,,51.0,69.0,1,36.0,51.0,34.0,16,15,10.0,0.0
82,Germany,2016,26,6/27/2016,7/3/2016,21,12,6.71,36,,49.0,90.0,1,35.0,36.0,32.0,17,10,15.0,1.0
83,Germany,2016,27,7/4/2016,7/10/2016,28,15,4.18,34,,47.0,83.0,1,37.0,43.0,31.0,12,11,14.0,0.0
84,Germany,2016,28,7/11/2016,7/17/2016,25,12,0.39,36,,47.0,86.0,0,36.0,36.0,33.0,11,11,19.0,0.0
85,Germany,2016,29,7/18/2016,7/24/2016,24,13,0.82,37,,51.0,66.0,1,32.0,41.0,25.0,11,9,19.0,1.0
86,Germany,2016,30,7/25/2016,7/31/2016,23,14,1.46,32,,48.0,75.0,1,34.0,45.0,30.0,18,12,7.0,0.0
87,Germany,2016,31,8/1/2016,8/7/2016,27,15,0.0,30,,54.0,100.0,1,29.0,47.0,32.0,13,10,5.0,0.0
88,Germany,2016,32,8/8/2016,8/14/2016,27,15,11.18,31,,49.0,76.0,1,29.0,42.0,28.0,14,10,12.0,0.0
89,Germany,2016,33,8/15/2016,8/21/2016,22,13,2.29,31,,39.0,66.0,1,32.0,17.0,25.0,17,12,18.0,0.0
90,Germany,2016,34,8/22/2016,8/28/2016,22,12,0.18,33,,36.0,64.0,3,35.0,17.0,21.0,17,10,13.0,1.0
91,Germany,2016,35,8/29/2016,9/4/2016,23,10,2.75,32,,29.0,53.0,2,33.0,27.0,26.0,11,12,18.0,0.0
92,Germany,2016,36,9/5/2016,9/11/2016,29,15,0.29,34,,28.0,46.0,2,34.0,30.0,41.0,17,13,16.0,1.0
93,Germany,2016,37,9/12/2016,9/18/2016,24,12,2.43,32,,26.0,43.0,1,41.0,18.0,26.0,14,13,16.0,1.0
94,Germany,2016,38,9/19/2016,9/25/2016,26,13,0.14,33,,25.0,46.0,2,38.0,26.0,32.0,15,8,24.0,0.0
95,Germany,2016,39,9/26/2016,10/2/2016,26,14,0.79,36,,25.0,48.0,1,42.0,28.0,19.0,20,10,15.0,0.0
96,Germany,2016,40,10/3/2016,10/9/2016,20,7,0.0,32,,25.0,68.0,3,45.0,21.0,36.0,17,10,44.0,0.0
97,Germany,2016,41,10/10/2016,10/16/2016,20,9,1.36,34,,29.0,53.0,1,52.0,36.0,22.0,16,11,75.0,0.0
98,Germany,2016,42,10/17/2016,10/23/2016,13,6,1.96,33,,26.0,53.0,2,42.0,22.0,17.0,18,17,87.0,0.0
99,Germany,2016,43,10/24/2016,10/30/2016,10,6,1.07,36,,32.0,56.0,1,38.0,36.0,18.0,17,9,88.0,2.0
100,Germany,2016,44,10/31/2016,11/6/2016,10,6,1.21,34,,30.0,59.0,1,47.0,38.0,17.0,15,9,78.0,0.0
101,Germany,2016,45,11/7/2016,11/13/2016,11,4,0.64,37,,25.0,44.0,1,39.0,40.0,28.0,17,13,115.0,2.0
102,Germany,2016,46,11/14/2016,11/20/2016,9,3,2.68,37,,29.0,56.0,1,34.0,52.0,17.0,11,12,138.0,7.0
103,Germany,2016,47,11/21/2016,11/27/2016,4,-2,0.14,37,,33.0,56.0,1,48.0,55.0,16.0,18,10,139.0,11.0
104,Germany,2016,48,11/28/2016,12/4/2016,9,3,2.29,41,,28.0,65.0,1,41.0,45.0,22.0,15,9,139.0,2.0
105,Germany,2016,49,12/5/2016,12/11/2016,8,2,0.0,45,,28.0,62.0,1,44.0,59.0,20.0,17,9,172.0,16.0
106,Germany,2016,50,12/12/2016,12/18/2016,4,-2,0.86,49,,29.0,53.0,1,47.0,63.0,18.0,19,7,172.0,23.0
107,Germany,2016,51,12/19/2016,12/25/2016,6,3,3.46,55,,28.0,51.0,1,37.0,45.0,15.0,21,6,156.0,46.0
108,Germany,2016,52,12/26/2016,1/1/2017,4,-2,0.36,46,,30.0,46.0,1,46.0,54.0,14.0,18,9,118.0,42.0
109,Germany,2017,1,1/2/2017,1/8/2017,5,0,1.96,49,,25.0,46.0,1,37.0,56.0,14.0,15,17,187.0,57.0
110,Germany,2017,2,1/9/2017,1/15/2017,6,1,0.67,57,,35.0,54.0,1,38.0,78.0,13.0,15,10,233.0,88.0
111,Germany,2017,3,1/16/2017,1/22/2017,4,1,0.5,68,,38.0,63.0,1,44.0,82.0,14.0,16,14,299.0,151.0
112,Germany,2017,4,1/23/2017,1/29/2017,0,-5,2.11,72,,35.0,59.0,1,38.0,50.0,12.0,12,12,347.0,182.0
113,Germany,2017,5,1/30/2017,2/5/2017,2,-3,1.86,68,,35.0,60.0,1,37.0,44.0,13.0,20,12,360.0,201.0
114,Germany,2017,6,2/6/2017,2/12/2017,1,-4,0.0,60,,30.0,58.0,1,46.0,31.0,21.0,13,14,381.0,203.0
115,Germany,2017,7,2/13/2017,2/19/2017,2,-3,0.0,53,,31.0,63.0,1,43.0,59.0,13.0,14,10,353.0,183.0
116,Germany,2017,8,2/20/2017,2/26/2017,1,-2,1.54,47,,30.0,56.0,1,36.0,35.0,16.0,16,12,297.0,121.0
117,Germany,2017,9,2/27/2017,3/5/2017,-1,-5,0.0,42,,31.0,58.0,1,32.0,54.0,22.0,13,12,207.0,64.0
118,Germany,2017,10,3/6/2017,3/12/2017,7,-2,0.68,39,,31.0,52.0,1,37.0,33.0,14.0,13,11,192.0,42.0
119,Germany,2017,11,3/13/2017,3/19/2017,9,3,3.04,39,,28.0,52.0,1,37.0,22.0,11.0,12,11,150.0,27.0
120,Germany,2017,12,3/20/2017,3/26/2017,11,4,1.14,37,,29.0,45.0,1,43.0,57.0,14.0,14,13,113.0,16.0
121,Germany,2017,13,3/27/2017,4/2/2017,9,2,2.29,35,,27.0,52.0,1,37.0,24.0,12.0,16,12,84.0,6.0
122,Germany,2017,14,4/3/2017,4/9/2017,11,1,2.68,34,,29.0,41.0,1,35.0,27.0,13.0,17,11,90.0,16.0
123,Germany,2017,15,4/10/2017,4/16/2017,12,3,0.93,32,,33.0,56.0,2,47.0,21.0,15.0,17,12,48.0,3.0
124,Germany,2017,16,4/17/2017,4/23/2017,19,6,0.14,33,,30.0,51.0,1,37.0,37.0,13.0,19,14,31.0,2.0
125,Germany,2017,17,4/24/2017,4/30/2017,14,6,0.11,35,,26.0,44.0,1,42.0,31.0,16.0,13,17,56.0,2.0
126,Germany,2017,18,5/1/2017,5/7/2017,13,5,2.18,37,,25.0,53.0,2,42.0,48.0,13.0,16,12,65.0,0.0
127,Germany,2017,19,5/8/2017,5/14/2017,10,2,1.43,37,,22.0,44.0,1,59.0,29.0,15.0,14,12,53.0,3.0
128,Germany,2017,20,5/15/2017,5/21/2017,13,0,0.25,38,,27.0,45.0,3,51.0,34.0,18.0,16,12,46.0,4.0
129,Germany,2017,21,5/22/2017,5/28/2017,15,7,1.75,34,,26.0,50.0,3,65.0,31.0,24.0,15,18,50.0,0.0
130,Germany,2017,22,5/29/2017,6/4/2017,17,4,0.46,32,,29.0,40.0,6,88.0,31.0,21.0,14,10,36.0,1.0
